lab name,address,zip code,city,state,type
"Odom, Nielsen and Kim Laboratory","20436 Anthony Unions
Port Edwin, OH 28491",96105,North Maryview,Indiana,Private Laboratory
Cuevas-Foster Laboratory,"03186 Nguyen Summit Suite 869
Lake David, IL 15043",99425,Port Tammyhaven,New Mexico,University Laboratory
Riddle-Davis Laboratory,"98604 Swanson Harbor
West Crystal, IA 90370",56189,New Chris,Indiana,Collection Site
Jones Ltd Laboratory,"513 Webb Curve Apt. 229
Karenburgh, HI 22276",62421,Galvanview,Florida,Collection Site
Yang and Sons Laboratory,"9392 Ryan Fall
South Joshua, IL 43710",87887,Port Brandon,West Virginia,Private Laboratory
Hernandez Inc Laboratory,"2749 Edwards River Suite 942
Millerberg, ME 69779",61597,Mcdanielburgh,Maryland,Government Laboratory
Holmes Group Laboratory,"8096 Joseph Point Suite 041
Alyssabury, CT 55678",13527,Andrefort,Pennsylvania,Collection Site
"Scott, Sparks and Haney Laboratory","329 Morgan Shores Apt. 645
Port Christopher, SC 14625",23030,Lake Josephport,Nebraska,University Laboratory
"Hale, Jones and Guzman Laboratory","4805 Dickerson Drives Apt. 842
Waremouth, ND 24227",1422,Wardville,Connecticut,Hospital Laboratory
"Wilson, Davis and Ryan Laboratory","88366 Jennifer Port
Shaneburgh, NC 96112",34360,Walkermouth,Nevada,Private Laboratory
"Morgan, Campbell and Martin Laboratory","Unit 2363 Box 6463
DPO AE 04234",64392,Wrightstad,Kentucky,Hospital Laboratory
"Ward, Dixon and Carlson Laboratory","Unit 4362 Box 5157
DPO AE 10374",11834,Kaylaville,Pennsylvania,Private Laboratory
Macias-West Laboratory,"1284 Amy Place
Wagnerbury, MO 60874",64050,Johnsonview,Oklahoma,University Laboratory
"Parker, Becker and Cross Laboratory","621 Olson Trail Suite 967
Cindyhaven, RI 51666",98476,West Alexander,Michigan,University Laboratory
"Swanson, Rose and Glover Laboratory","PSC 8070, Box 4568
APO AP 28224",40640,Lake Jeffrey,Wisconsin,Private Laboratory
Kennedy Group Laboratory,"92333 Jones Expressway
East Andrewburgh, VA 76517",3655,Davidville,Texas,Collection Site
Porter Ltd Laboratory,"58435 Kimberly Trail Apt. 266
East Mary, GA 05201",77865,New Kyle,Kansas,Collection Site
Velasquez-Marshall Laboratory,"220 Cruz Pass Suite 561
Lake Taylorville, RI 57946",50847,Leslieview,New Hampshire,Hospital Laboratory
Watson and Sons Laboratory,"08448 David Row Suite 680
Tannerbury, MD 77541",8633,West Joshua,Florida,Government Laboratory
