Updated On,State,Total Doses Administered,Sessions,Sites,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Xur-V (Doses Administered),VaxZine-U (Doses Administered),X21 (Doses Administered),ADCC,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Total Individuals Vaccinated
9/1/2023,Arkansas,69268,303,38,33945,25795,30340,49540,29118,19405,1324,35,15694,43516,18928,39905,14204,49631,14053,8252,26220
28/08/2023,Alaska,44567,236,86,48328,13627,5891,7850,28056,6997,30348,8,40083,19980,5721,2315,14695,29556,8177,40055,2538
2/9/2023,Michigan,43613,768,86,41959,20196,10154,21725,34779,936,29605,23,26861,30398,15916,29919,9967,35334,1064,18107,8817
13/01/2023,Oklahoma,46891,112,12,8203,18424,40354,17328,44213,25609,13221,46,28690,41288,40657,8858,34490,2646,46234,49864,3535
19/04/2023,South Carolina,22243,869,43,43607,16871,31096,18059,41437,38538,23265,94,9907,9722,11689,33654,10675,12913,13050,32469,27185
4/9/2023,Nebraska,96939,762,48,3163,4768,36196,39094,14862,47766,33612,63,29875,41624,44895,19508,44082,11982,6843,34777,28966
8/12/2023,Maryland,98639,452,49,44944,46465,9911,35554,2543,21981,43672,56,26709,44147,20742,48192,24662,21442,12601,47841,20929
28/02/2023,Oregon,42993,964,14,35784,32563,13708,31591,14368,4457,10680,75,24881,2284,41778,48175,46627,14310,33508,25794,47348
20/05/2023,Minnesota,87293,955,33,29209,45840,44057,43648,29877,1757,26980,15,18794,13883,11370,46301,24311,3869,45224,511,25124
11/2/2023,New Jersey,56026,255,72,39246,31364,14873,37708,12293,126,31025,43,2436,7729,123,44905,20427,22194,4326,27522,20685
29/05/2023,North Dakota,81471,285,76,17545,12000,29043,1021,11341,11873,22697,19,7397,2407,21272,41284,29305,15675,45028,40820,40397
15/05/2023,Louisiana,81966,813,67,7065,41686,35976,3732,14351,9934,16153,67,47471,3403,10922,32113,13071,21171,6930,37100,31487
2/6/2023,Arkansas,49600,430,47,35524,39941,38269,27677,26914,9910,16500,27,31014,47195,10059,20918,42822,49723,40310,45607,29705
16/02/2023,North Carolina,40512,646,75,15457,12352,26326,6734,11979,36963,17109,69,1665,9323,49510,21096,26199,41976,26554,41464,23735
22/06/2023,West Virginia,53620,340,50,2292,2026,31548,46828,8431,47174,15074,79,7793,40281,24683,30682,31111,46874,38349,38002,42559
28/01/2023,Ohio,81186,315,88,49448,39637,36490,48278,33968,33176,40402,92,36167,21432,35038,27969,36836,26594,11089,17711,27682
29/04/2023,West Virginia,18089,668,96,28365,18701,23,11695,36523,42859,33082,72,36167,36176,28064,24942,46018,45791,14743,18516,28294
18/04/2023,Arkansas,33230,270,39,39630,16447,9813,13886,13679,9544,13521,5,42014,44870,41320,48028,33832,35700,26032,32189,24494
19/08/2023,Georgia,19983,482,33,17099,18019,25083,15737,23656,43266,11445,96,27892,7084,28645,23369,17013,38543,37241,20812,23918
6/12/2023,Arkansas,90688,985,48,8197,30947,6455,8986,22656,30887,18024,16,39705,8210,39551,25791,41002,35646,17428,45761,16780
16/08/2023,New Jersey,83457,827,95,2426,16114,45937,32821,14402,48558,31121,25,33139,8093,31002,44283,9185,5634,27697,26333,28227
24/05/2023,Alabama,94005,279,65,28394,45563,46507,13097,48081,39721,39015,50,36345,39514,48044,24262,2979,21102,8477,6125,46171
12/1/2023,Colorado,7921,445,54,46786,20148,30998,6759,45586,21389,18107,27,28395,30580,49653,27425,3112,35738,26363,18888,42453
11/8/2023,Kentucky,39804,410,77,1929,9558,8684,16077,38747,31508,7147,57,4590,24938,15057,22653,27284,269,28466,36284,34698
16/02/2023,Iowa,68699,449,22,8160,21404,264,21060,32388,23378,18382,27,13154,5516,23887,618,34743,40822,43461,34563,20915
17/10/2023,North Dakota,71608,114,12,37614,36479,81,11757,6363,11596,3219,67,13489,22181,20328,49954,25273,35569,44552,23414,31348
7/9/2023,Wyoming,38619,725,29,12284,35980,49519,37035,849,11862,4901,28,39982,6728,38621,21968,14719,19990,41900,28480,25022
29/12/2022,Nebraska,8877,71,75,47143,45095,19355,10432,20341,17794,24514,72,15289,12932,16790,39552,6615,5979,38403,8639,7494
31/07/2023,Idaho,84966,364,24,11329,28819,23379,47751,18830,572,34409,84,6274,21270,39011,5021,15403,19816,31552,45761,13252
4/7/2023,Indiana,2871,283,14,42834,715,47705,13558,38901,49356,7241,4,40265,13658,15601,1139,36399,16507,2494,20503,10761
1/4/2023,Wyoming,74135,720,1,10231,8939,18609,21636,24229,43285,10596,32,46841,13484,35725,35631,21797,12421,35470,26845,9778
19/09/2023,Utah,3496,546,14,48207,45793,47081,25700,19956,34010,4417,4,5925,12722,4202,36451,49430,36256,4548,43469,6105
5/4/2023,Texas,48954,615,17,39559,13809,3454,14895,43136,38918,12817,92,6706,5699,39203,4912,25706,10780,6144,39201,46204
29/03/2023,California,25675,231,29,8963,46492,16827,21982,5829,3236,26603,64,29588,26261,2098,402,25069,24941,19632,22943,48199
27/09/2023,New Mexico,32921,588,22,6265,30358,14932,39093,16051,46978,39737,59,31426,24327,20754,12641,30843,36031,30532,4071,39293
1/6/2023,Wyoming,1797,213,77,15272,20639,41739,8140,6172,37180,19689,74,46454,10,30194,31256,43061,4198,8119,9397,569
27/01/2023,Alaska,50811,56,38,24740,29957,39425,2062,6270,48826,31349,96,42565,31591,46245,36053,44125,12051,14670,828,7502
6/9/2023,Oklahoma,69755,178,82,15149,1818,3534,11968,28580,11148,10283,19,19105,38227,29293,9832,48916,38944,25927,24511,43787
9/3/2023,Washington,81782,731,34,38944,4537,41601,18479,21281,24624,36425,44,33001,47996,32021,48245,43216,5040,48940,48287,30779
12/8/2023,Indiana,91535,177,47,11854,44563,8293,34257,20660,42770,31586,77,45680,47339,25926,15950,45612,7444,7785,16404,26474
2/11/2023,Ohio,82857,521,70,38190,14421,2665,48894,17373,31012,36941,10,33676,7834,6350,43665,18383,37232,13053,25085,25946
17/11/2023,Mississippi,53489,787,74,29861,22699,2227,25512,16238,22522,12906,28,9004,43611,327,23810,26340,3524,34440,34590,27944
21/04/2023,Arizona,85665,373,88,22516,17165,21882,19739,14297,19568,9041,67,27990,41746,34370,8041,31102,49167,21637,27106,49135
3/5/2023,Arkansas,42504,292,85,14308,15476,5673,25979,20781,46944,43439,29,6184,4893,10755,26025,21836,26771,11109,19486,6379
13/02/2023,Virginia,50866,798,92,12702,26207,19056,44213,443,37745,4783,74,19851,47873,16058,20213,42592,5644,34374,6660,20803
28/05/2023,Rhode Island,85212,963,94,22155,6667,20018,45438,15890,7534,46,53,18189,48123,2729,3107,47941,34411,36109,27583,42679
26/03/2023,North Carolina,97766,974,88,36214,13815,46954,30648,600,15113,14845,19,3633,31223,23986,35393,29673,29589,12579,39227,34309
28/11/2023,Minnesota,12723,628,29,20215,26478,49277,17123,5059,10275,35821,77,8712,44120,42118,10941,16722,17057,41213,39145,33300
20/10/2023,New York,44890,332,35,42904,5832,36448,14682,15290,15484,16053,56,5841,15462,3260,8227,17660,46760,20604,29043,5267
8/9/2023,Indiana,18591,62,1,13296,7409,27511,48406,5498,1055,12300,67,44616,13702,8523,1759,21514,10123,43735,41605,11199
23/04/2023,New York,59146,817,20,11562,8041,12691,8536,48238,49403,29629,31,34895,11966,20993,17395,16431,41572,15202,45054,45333
20/04/2023,North Carolina,93288,861,41,44840,29652,27969,35609,42502,10870,4557,14,48885,29657,35497,29500,6006,4020,29323,15478,34126
17/11/2023,Illinois,60300,457,28,43019,22033,34316,11675,37890,25162,48412,30,35360,2697,17185,10381,14232,180,10984,4081,38609
29/06/2023,South Carolina,90141,382,44,31265,44178,29955,2768,23086,29074,41238,38,32249,7181,41583,18230,49097,38681,37769,23453,17163
23/11/2023,New Jersey,72557,657,99,15144,33972,13493,38213,17440,43965,11466,20,30711,26676,33443,27217,488,25723,2342,32661,8573
12/10/2023,Montana,21006,553,46,21299,3425,7664,5457,4860,44297,42767,58,34395,33998,23921,28335,39855,23468,11352,37211,10116
16/05/2023,Virginia,4560,106,79,46582,11920,23178,36320,24605,42770,21725,49,32896,322,6827,44137,32751,883,25319,41168,25700
7/12/2023,Tennessee,91868,206,27,31714,44591,27824,29815,8806,1941,2075,17,42933,33996,34360,40402,8921,16159,10772,2652,12335
22/12/2022,Oregon,62713,165,17,45388,4584,14565,1683,21526,36016,2240,0,6570,17360,36363,47989,7073,4825,39966,12239,39232
30/09/2023,Rhode Island,97591,162,27,14993,18939,10953,24032,39222,23569,23376,14,19167,26957,7559,31040,741,16706,10318,45470,37814
16/10/2023,Massachusetts,46444,833,4,40967,2259,12238,40093,8349,45780,3552,28,22666,9313,2227,348,17056,1964,35780,3080,39067
6/4/2023,Illinois,47522,658,33,17224,20599,7926,402,36694,29554,28905,33,13702,18847,7663,49766,6260,48427,47309,42322,13631
6/11/2023,North Carolina,87904,566,72,38575,28895,10720,22166,45457,6733,45433,89,19266,16510,37897,188,35363,37353,17478,18966,48594
21/07/2023,Alaska,21737,831,36,20259,36337,34047,37360,12731,10395,13760,97,43696,18351,32173,32144,21034,10976,47843,14295,18220
13/05/2023,Indiana,29647,740,56,15794,705,35536,30789,18237,41203,47030,80,24396,3298,11905,47145,28248,35705,33263,2070,15126
14/01/2023,West Virginia,62353,560,98,10103,15122,7852,6291,8041,29799,16993,43,18807,20764,9889,45223,20707,42607,26096,48538,49796
2/8/2023,Alabama,93217,165,88,41643,46384,19889,30429,49660,10230,7940,31,30694,1535,37223,30236,21993,40631,9674,46423,49639
20/01/2023,Vermont,81163,236,49,9118,13879,22698,34476,35874,26857,1040,21,33845,33798,35205,49737,45747,1088,37178,2644,10171
21/07/2023,Tennessee,13134,53,68,14720,45756,48283,14502,5162,17503,42350,95,221,40473,49304,1163,42302,5481,49130,29957,14940
22/01/2023,New York,61535,982,39,27802,25379,11425,13419,34911,43223,40652,73,31626,23300,37595,49211,36817,15850,16225,49951,47910
21/07/2023,Tennessee,48883,761,65,28323,14833,12637,21371,31412,36565,6955,63,12157,12830,49645,25675,6473,25991,31322,7765,18361
27/06/2023,Texas,87107,530,50,10357,40958,39827,11318,21324,4174,16413,37,37743,17112,44448,23759,19817,25424,17787,36766,47458
24/03/2023,Alabama,64360,690,56,30534,27857,42528,36295,17570,14484,35837,18,34269,35934,39774,5625,6600,9704,48024,3469,37117
